frequency,r,t
2.500000e+14,-2.310434e-02+1.055441e-01j,9.768957e-01+1.055441e-01j
2.520408e+14,-2.479360e-02+1.090630e-01j,9.752064e-01+1.090630e-01j
2.540816e+14,-2.665487e-02+1.127968e-01j,9.733451e-01+1.127968e-01j
2.561224e+14,-2.872555e-02+1.167652e-01j,9.712744e-01+1.167652e-01j
2.581633e+14,-3.104854e-02+1.209797e-01j,9.689515e-01+1.209797e-01j
2.602041e+14,-3.366509e-02+1.254444e-01j,9.663349e-01+1.254444e-01j
2.622449e+14,-3.660992e-02+1.301631e-01j,9.633901e-01+1.301631e-01j
2.642857e+14,-3.991481e-02+1.351504e-01j,9.600852e-01+1.351504e-01j
2.663265e+14,-4.361992e-02+1.404371e-01j,9.563801e-01+1.404371e-01j
2.683673e+14,-4.778737e-02+1.460682e-01j,9.522126e-01+1.460682e-01j
2.704082e+14,-5.251342e-02+1.520936e-01j,9.474866e-01+1.520936e-01j
2.724490e+14,-5.793617e-02+1.585505e-01j,9.420638e-01+1.585505e-01j
2.744898e+14,-6.422829e-02+1.654398e-01j,9.357717e-01+1.654398e-01j
2.765306e+14,-7.156750e-02+1.727170e-01j,9.284325e-01+1.727170e-01j
2.785714e+14,-8.011524e-02+1.803243e-01j,9.198848e-01+1.803243e-01j
2.806122e+14,-9.004938e-02+1.882303e-01j,9.099506e-01+1.882303e-01j
2.826531e+14,-1.016339e-01+1.964198e-01j,8.983661e-01+1.964198e-01j
2.846939e+14,-1.152719e-01+2.048187e-01j,8.847281e-01+2.048187e-01j
2.867347e+14,-1.314876e-01+2.131758e-01j,8.685124e-01+2.131758e-01j
2.887755e+14,-1.508099e-01+2.210022e-01j,8.491901e-01+2.210022e-01j
2.908163e+14,-1.737245e-01+2.276351e-01j,8.262755e-01+2.276351e-01j
2.928571e+14,-2.007577e-01+2.321656e-01j,7.992423e-01+2.321656e-01j
2.948980e+14,-2.323603e-01+2.332015e-01j,7.676397e-01+2.332015e-01j
2.969388e+14,-2.685810e-01+2.287749e-01j,7.314190e-01+2.287749e-01j
2.989796e+14,-3.086790e-01+2.163944e-01j,6.913210e-01+2.163944e-01j
3.010204e+14,-3.506068e-01+1.933263e-01j,6.493932e-01+1.933263e-01j
3.030612e+14,-3.905491e-01+1.573596e-01j,6.094509e-01+1.573596e-01j
3.051020e+14,-4.229951e-01+1.080910e-01j,5.770049e-01+1.080910e-01j
3.071429e+14,-4.419187e-01+4.826567e-02j,5.580813e-01+4.826567e-02j
3.091837e+14,-4.430807e-01-1.597227e-02j,5.569193e-01-1.597227e-02j
3.112245e+14,-4.261531e-01-7.680254e-02j,5.738469e-01-7.680254e-02j
3.132653e+14,-3.949341e-01-1.276494e-01j,6.050659e-01-1.276494e-01j
3.153061e+14,-3.554206e-01-1.652486e-01j,6.445794e-01-1.652486e-01j
3.173469e+14,-3.133575e-01-1.896811e-01j,6.866425e-01-1.896811e-01j
3.193878e+14,-2.728254e-01-2.030649e-01j,7.271746e-01-2.030649e-01j
3.214286e+14,-2.360599e-01-2.081652e-01j,7.639401e-01-2.081652e-01j
3.234694e+14,-2.039067e-01-2.075423e-01j,7.960933e-01-2.075423e-01j
3.255102e+14,-1.763768e-01-2.032231e-01j,8.236232e-01-2.032231e-01j
3.275510e+14,-1.530699e-01-1.966761e-01j,8.469301e-01-1.966761e-01j
3.295918e+14,-1.334333e-01-1.889073e-01j,8.665667e-01-1.889073e-01j
3.316327e+14,-1.168997e-01-1.805790e-01j,8.831003e-01-1.805790e-01j
3.336735e+14,-1.029507e-01-1.721122e-01j,8.970493e-01-1.721122e-01j
3.357143e+14,-9.113913e-02-1.637647e-01j,9.088609e-01-1.637647e-01j
3.377551e+14,-8.109162e-02-1.556868e-01j,9.189084e-01-1.556868e-01j
3.397959e+14,-7.250240e-02-1.479601e-01j,9.274976e-01-1.479601e-01j
3.418367e+14,-6.512308e-02-1.406229e-01j,9.348769e-01-1.406229e-01j
3.438776e+14,-5.875218e-02-1.336878e-01j,9.412478e-01-1.336878e-01j
3.459184e+14,-5.322556e-02-1.271514e-01j,9.467744e-01-1.271514e-01j
3.479592e+14,-4.840857e-02-1.210012e-01j,9.515914e-01-1.210012e-01j
3.500000e+14,-4.419005e-02-1.152189e-01j,9.558100e-01-1.152189e-01j
