File,Frequency_THz,Scattering_W,Absorption_W,Extinction_W
cdm_input_0.csv,150.0,6.360023966354888e-16,,
cdm_input_0.csv,154.0983606557377,7.080890193795686e-16,,
cdm_input_0.csv,158.19672131147541,7.892854628584862e-16,,
cdm_input_0.csv,162.29508196721312,8.876317037260947e-16,,
cdm_input_0.csv,166.3934426229508,1.005980689915944e-15,,
cdm_input_0.csv,170.49180327868854,1.1419535820486492e-15,,
cdm_input_0.csv,174.59016393442622,1.3012005879682176e-15,,
cdm_input_0.csv,178.68852459016392,1.5017669366347936e-15,,
cdm_input_0.csv,182.78688524590163,1.7591792261551208e-15,,
cdm_input_0.csv,186.88524590163934,2.0801112857013005e-15,,
cdm_input_0.csv,190.98360655737707,2.48767517184758e-15,,
cdm_input_0.csv,195.08196721311475,3.0464470773822217e-15,,
cdm_input_0.csv,199.18032786885246,3.8438517956272036e-15,,
cdm_input_0.csv,203.27868852459017,4.975652327697558e-15,,
cdm_input_0.csv,207.37704918032787,6.643335425720354e-15,,
cdm_input_0.csv,211.47540983606555,9.259501633393883e-15,,
cdm_input_0.csv,215.5737704918033,1.3094591420328243e-14,,
cdm_input_0.csv,219.672131147541,1.712848355596522e-14,,
cdm_input_0.csv,223.77049180327867,1.737818664770532e-14,,
cdm_input_0.csv,227.86885245901638,1.2602968339457355e-14,,
cdm_input_0.csv,231.9672131147541,7.604630896909853e-15,,
cdm_input_0.csv,236.0655737704918,4.4462210421719815e-15,,
cdm_input_0.csv,240.1639344262295,2.6621871389245026e-15,,
cdm_input_0.csv,244.2622950819672,1.643801838318734e-15,,
cdm_input_0.csv,248.36065573770495,1.043097440188763e-15,,
cdm_input_0.csv,252.45901639344262,6.772550265645721e-16,,
cdm_input_0.csv,256.55737704918033,4.458306104849979e-16,,
cdm_input_0.csv,260.655737704918,2.9434845560142664e-16,,
cdm_input_0.csv,264.75409836065575,1.9443612101829974e-16,,
cdm_input_0.csv,268.8524590163934,1.292326178302557e-16,,
cdm_input_0.csv,272.9508196721311,8.66147101246721e-17,,
cdm_input_0.csv,277.0491803278689,5.845808464438475e-17,,
cdm_input_0.csv,281.1475409836066,4.013572003931564e-17,,
cdm_input_0.csv,285.24590163934425,2.8564394488648664e-17,,
cdm_input_0.csv,289.344262295082,2.1046720168268163e-17,,
cdm_input_0.csv,293.44262295081967,1.559736211866335e-17,,
cdm_input_0.csv,297.54098360655735,1.1252937708596125e-17,,
cdm_input_0.csv,301.63934426229514,7.696219883782753e-18,,
cdm_input_0.csv,305.73770491803276,4.847129329047966e-18,,
cdm_input_0.csv,309.8360655737705,2.7545140322600253e-18,,
cdm_input_0.csv,313.9344262295082,1.501847731280336e-18,,
cdm_input_0.csv,318.03278688524586,1.073941674017854e-18,,
cdm_input_0.csv,322.1311475409836,1.3665441103599086e-18,,
cdm_input_0.csv,326.2295081967213,2.2847909428672383e-18,,
cdm_input_0.csv,330.327868852459,3.7885652640389404e-18,,
cdm_input_0.csv,334.42622950819674,5.883511654532645e-18,,
cdm_input_0.csv,338.5245901639344,8.538907903131932e-18,,
cdm_input_0.csv,342.6229508196721,1.156832520764492e-17,,
cdm_input_0.csv,346.7213114754099,1.470683222565568e-17,,
cdm_input_0.csv,350.8196721311475,1.7915013674223227e-17,,
cdm_input_0.csv,354.91803278688525,2.1489835584644302e-17,,
cdm_input_0.csv,359.0163934426229,2.5713789362386547e-17,,
cdm_input_0.csv,363.1147540983606,3.047569253109701e-17,,
cdm_input_0.csv,367.21311475409834,3.536788041054129e-17,,
cdm_input_0.csv,371.3114754098361,4.005111821645874e-17,,
cdm_input_0.csv,375.40983606557376,4.44570134732382e-17,,
cdm_input_0.csv,379.5081967213115,4.882474951204875e-17,,
cdm_input_0.csv,383.60655737704917,5.3650714286426175e-17,,
cdm_input_0.csv,387.70491803278685,5.930185217885043e-17,,
cdm_input_0.csv,391.80327868852464,6.540579250923346e-17,,
cdm_input_0.csv,395.90163934426226,7.096105800828146e-17,,
cdm_input_0.csv,400.0,7.550115918762402e-17,,
